Tue,27/06/17,Alashkert,1 - 0,FC Santa Coloma,View events,More info
Tue,04/07/17,FC Santa Coloma,1 - 1,Alashkert,,
Tue,27/06/17,The New Saints,1 - 2,Europa,View events,More info
Tue,04/07/17,Europa, 1 - 3 E,The New Saints,,
Tue,27/06/17,Víkingur,2 - 1,Trepça'89,View events,More info
Tue,04/07/17,Trepça'89,1 - 4,Víkingur,,
Tue,27/06/17,Hibernians,2 - 0,FCI Tallinn,View events,More info
Tue,04/07/17,FCI Tallinn,0 - 1,Hibernians,,
Wed,28/06/17,Linfield,1 - 0,La Fiorita,View events,More info
Tue,04/07/17,La Fiorita,0 - 0,Linfield,,
