league,round,2015,2016,2017
Champions League,1qr,31725,35547,42379
Champions League,2qr,31726,35548,42380
Champions League,3qr,31727,35549,42381
Champions League,po,31728,35550,42385
Champions League,gs,31729,35551,42384
Champions League,r16,31730,35552,42382
Champions League,r8,31731,35553,42386
Champions League,r4,31732,35554,42387
Champions League,r2,31733,35555,42383
Europa League,1qr,31530,35523,41830
Europa League,2qr,31531,35524,41831
Europa League,3qr,31532,35525,41832
Europa League,po,31533,35526,41836
Europa League,gs,31534,35527,41835
Europa League,r32,31535,35528,41829
Europa League,r16,31536,35529,41833
Europa League,r8,31537,35530,41837
Europa League,r4,31538,35531,41838
Europa League,r2,31539,35532,41834
Albania,reg season,31891,37049,42054
Andorra,reg season,32774,35606,41458
Andorra,champ,32776,35605,41457
Andorra,relegation,32775,35607,41459
Armenia,reg season,31959,36553,42191
Austria,reg season,31588,35887,41997
Azerbaijan,reg season,32509,36515,40864
Belarus,reg season,30290,34862,39607
Belgium,reg season,31603,36668,41608
Belgium,Playoff 1,31606,36666,41607
Belgium,Playoff 2,31604,NA,NA
Belgium,Playoff 3,31607,NA,NA
Belgium,cl/el,31608,NA,NA
Bosnia-Herzegovina,reg season,31610,36005,42016
Bosnia-Herzegovina,relegation,NA,37713,42017
Bosnia-Herzegovina,champ,NA,37712,42015
Bulgaria,reg season,31629,36871,42667
Bulgaria,champ,NA,37902,42663
Bulgaria,relegation,NA,37903,42667
Croatia,reg season,31632,35882,42101
Cyprus,reg season,31626,35996,41683
Cyprus,champ,31628,35997,41682
Cyprus,relegation,31627,35995,41684
Czech Republic,reg season,31633,35886,42013
Denmark,reg season,31710,36663,42369
Denmark,champ,NA,NA,42365
England,reg season,31553,35992,31547
Estonia,reg season,30452,33945,39318
Faroe Islands,reg season,30147,34481,39201
Finland,reg season,30442,34245,39409
France,reg season,31546,35879,41646
Georgia,reg season,32568,36346,39831
Georgia,champ,NA,37527,NA
Georgia,relegation,NA,37528,NA
Georgia,el playoffs,NA,37525,NA
Georgia,el playoffs,NA,37526,NA
Germany,reg season,31545,35823,41485
Gibraltar,reg season,32202,36004,
Greece,reg season,32039,36670,42568
Greece,playoffs,32040,36669,41607
Hungary,reg season,31634,35466,42012
Iceland,reg season,30682,34548,39085
Ireland,reg season,30287,34026,39233
Israel,reg season,31589,36479,41565
Israel,champ,31590,36478,41564
Israel,relegation,31591,36480,41566
Italy,reg season,31554,36003,42011
Kazakhstan,reg season,30455,34077,39316
Kazakhstan,champ,30456,34079,NA
Kazakhstan,relegation,30457,34078,NA
Latvia,reg season,30890,34623,39408
Liechtenstein,1st round,32433,35632,41839
Liechtenstein,2nd round,32432,35633,41840
Liechtenstein,Q,32431,35635,41842
Liechtenstein,S,32430,35636,41843
Liechtenstein,F,32429,35634,41841
Lithuania,reg season,30383,34661,40153
Lithuania,champ,NA,NA,41800
Luxembourg,reg season,32041,36387,41575
Macedonia,reg season,32384,36876,42190
Malta,reg season,31985,35452,41154
Malta,champ,31986,NA,NA
Moldova,reg season,31600,36817,42404
Montenegro,reg season,31688,36876,42405
Netherlands,reg season,31561,36385,42274
Netherlands,rel,NA,NA,42370
Netherlands,el playoffs,NA,36383,NA
Netherlands,el playoffs,NA,36384,NA
Northern Ireland,reg season,31636,35835,41353
Northern Ireland,el,NA,NA,42567
Northern Ireland,champ,31993,35832,41350
Northern Ireland,relegation,31994,35836,41354
Northern Ireland,el playoffs,NA,35834,41352
Northern Ireland,rel,NA,35833,42668
Northern Ireland,el playoffs,NA,NA,41351
Norway,reg season,30154,33922,39484
Poland,reg season,31713,35890,42329
Poland,champ,31714,35889,42328
Poland,relegation,31715,35891,42330
Portugal,reg season,31637,35881,41648
Romania,reg season,31639,36873,42473
Romania,champ,NA,36872,42472
Romania,relegation,NA,36874,42474
Russia,reg season,31690,36386,41733
San Marino,reg season,33138,38596,41801
San Marino,Playoff 1,33139,38590,41795
San Marino,Playoff 2,33140,38591,41796
San Marino,Playoff 3,33141,38592,41797
San Marino,Playoff 4,33142,38593,41798
San Marino,Playoff 5,33143,38594,41799
San Marino,Playoff 6,33144,38595,41800
Scotland,reg season,31567,35877,41506
Scotland,Phase 2,31568,35878,41507
Serbia,reg season,31640,36655,41605
Serbia,champ,NA,36654,41606
Serbia,relegation,NA,36656,41604
Slovakia,reg season,31641,36397,42021
Slovenia,reg season,31698,36395,41879
Spain,reg season,31781,35880,41509
Sweden,reg season,30329,33927,39293
Switzerland,reg season,31601,36501,42346
Turkey,reg season,31566,36002,42332
Ukraine,reg,31880,35893,42443
Ukraine,champ,NA,37028,42442
Ukraine,relegation,NA,37029,42444
Wales,1st phase,31666,35964,41356
Wales,2nd phase,31667,35965,41357
